"","Embarcacion","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ALBIMER (IND)",10,52
"2","ALERCE (IND)",1,7
"3","ANGAMOS 1 (IND)",2,13
"4","ANGAMOS 2 (IND)",9,33
"5","ANGAMOS 3 (IND)",6,21
"6","ANGAMOS 4 (IND)",6,23
"7","ANGAMOS 9 (IND)",7,23
"8","ATACAMA IV (IND)",10,47
"9","ATACAMA V (IND)",5,34
"10","AUDAZ (IND)",4,15
"11","AVENTURERO (IND)",2,17
"12","BANDURRIA (IND)",1,12
"13","BARRACUDA IV (IND)",6,29
"14","BLANQUILLO (IND)",1,10
"15","CAMIÃ‘A (IND)",0,5
"16","CLAUDIA ALEJANDRA (IND)",7,47
"17","COLLEN (IND)",3,21
"18","CORPESCA 2 (IND)",6,16
"19","CORPESCA I (IND)",6,19
"20","COSTA GRANDE 1 (IND)",6,28
"21","DON ERNESTO AYALA MARFIL (IND)",4,17
"22","DON GINO (IND)",1,7
"23","EPERVA 49 (IND)",2,10
"24","EPERVA 51 (IND)",7,29
"25","EPERVA 56 (IND)",14,46
"26","EPERVA 61 (IND)",3,23
"27","EPERVA 62 (IND)",7,38
"28","EPERVA 64 (IND)",0,7
"29","EPERVA 65 (IND)",4,20
"30","EPERVA 66 (IND)",11,49
"31","HALCON (IND)",0,11
"32","HURACAN (IND)",4,26
"33","ICALMA (IND)",15,42
"34","INTREPIDO (IND)",6,28
"35","LICANTEN (IND)",0,22
"36","LOA 1 (IND)",8,33
"37","LOA 2 (IND)",2,21
"38","LOA 7 (IND)",2,19
"39","MARLIN (IND)",3,29
"40","MERO (IND)",3,20
"41","PARINA I (IND)",0,14
"42","PUCARA (IND)",7,22
"43","RELAMPAGO (IND)",8,29
"44","SALMON (IND)",4,29
"45","SAN JORGE I   (IND)",0,6
"46","TORNADO (IND)",4,26
"47","TRUENO I (IND)",9,23
