Nave,RPI
ALBIMER,42
ALERCE,281
ANGAMOS1,597
ANGAMOS2,598
ANGAMOS3,591
ANGAMOS4,574
ANGAMOS9,1758
ATACAMAIV,614
ATACAMAV,1896
AUDAZ,24
AVENTURERO,191
BANDURRIA,287
BARRACUDAIV,82
BLANQUILLO,102
CAMINA,57
CLAUDIAALEJANDRA,158
COLLEN,1021
CONYI,21138
CORPESCAI,2501
CORPESCA2,2535
COSTAGRANDE1,288
DONERNESTOAYALAMARFIL,636
DONGINO,1961
ELENAS,277
EMILIA,32036
EPERVA49,390
EPERVA51,405
EPERVA56,404
EPERVA61,337
EPERVA62,348
EPERVA64,1867
EPERVA65,1951
EPERVA66,1992
FOCHE,32025
GRINGO,745
HALCON,409
HURACAN,417
ICALMA,1083
INTREPIDO,78
LICANTEN,1703
LOA1,436
LOA2,437
LOA7,449
MARLIN,1989
MERO,752
PARINAI,504
POLUX,764
PUCARA,600
RELAMPAGO,903
SALMON,951
SANJORGEI,1216
TORNADO,1960
TRUENOI,1133